"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","tern1"
"1","UniRef90_A0A139R6W6","Group","KO-Old",-7.74239966251269,0.329849630142044,1.32778688310669e-27,"GroupKO-Old",1.08984747365397e-23,51,42,"KO-Old depleted gene families"
"6","UniRef90_UPI0009AB85CD","Group","KO-Old",-5.51444773303628,0.370080291114424,1.98331719050857e-19,"GroupKO-Old",2.54901013084398e-16,51,39,"KO-Old depleted gene families"
"7","UniRef90_V6Z0U4","Group","KO-Old",-6.86415900718826,0.46174732969085,2.17386341568078e-19,"GroupKO-Old",2.54901013084398e-16,51,40,"KO-Old depleted gene families"
"26","UniRef90_A0A117C2A0","Group","KO-Old",-2.06419045984607,0.233107474260494,1.39205473862662e-11,"GroupKO-Old",4.31731071280882e-09,51,50,"KO-Old depleted gene families"
"34","UniRef90_A0A139N9Z9","Group","KO-Old",-1.48126762833352,0.174792369280744,5.03509408774859e-11,"GroupKO-Old",1.21553094918354e-08,51,50,"KO-Old depleted gene families"
"40","UniRef90_A0A2X4AA32","Group","KO-Old",-1.69939541301789,0.206404388421535,1.14488069511409e-10,"GroupKO-Old",2.3492951863741e-08,51,50,"KO-Old depleted gene families"
"41","UniRef90_K8EDY4","Group","KO-Old",-1.27318005902976,0.155018602030482,1.22694548036471e-10,"GroupKO-Old",2.45628500069111e-08,51,51,"KO-Old depleted gene families"
"42","UniRef90_A0A139P848","Group","KO-Old",-2.34863342788727,0.286531925744931,1.29737231098087e-10,"GroupKO-Old",2.50991474670423e-08,51,47,"KO-Old depleted gene families"
"44","UniRef90_I1VYZ3","Group","KO-Old",-1.48922179719641,0.18189523175076,1.34027560424133e-10,"GroupKO-Old",2.50991474670423e-08,51,51,"KO-Old depleted gene families"
"56","UniRef90_A0A2X3Y3T8","Group","KO-Old",-1.75608998994205,0.222543138537053,3.70635327846367e-10,"GroupKO-Old",5.33714872098769e-08,51,50,"KO-Old depleted gene families"
"57","UniRef90_J7TUV6","Group","KO-Old",-0.977095820795163,0.123810917040747,3.69577547801986e-10,"GroupKO-Old",5.33714872098769e-08,51,51,"KO-Old depleted gene families"
"72","UniRef90_A0A077ZKY0","Group","KO-Old",-0.832835204523452,0.109430479876244,9.76398844326677e-10,"GroupKO-Old",1.11309468253241e-07,51,51,"KO-Old depleted gene families"
"78","UniRef90_A0A1V2SRN6","Group","KO-Old",-3.95819792992352,0.52489177449128,1.24302017873945e-09,"GroupKO-Old",1.30803969578121e-07,51,39,"KO-Old depleted gene families"
"79","UniRef90_UPI000669EC23","Group","KO-Old",-1.29289874064104,0.171581136885941,1.26817251788095e-09,"GroupKO-Old",1.31761519326162e-07,51,51,"KO-Old depleted gene families"
"81","UniRef90_A0A139PZ87","Group","KO-Old",-2.52752974336273,0.335951174374986,1.32070092800264e-09,"GroupKO-Old",1.33831027370934e-07,51,49,"KO-Old depleted gene families"
"84","UniRef90_A0A139NBR7","Group","KO-Old",-3.54385882726405,0.475027731206605,1.64455503303754e-09,"GroupKO-Old",1.60696520371097e-07,51,41,"KO-Old depleted gene families"
"85","UniRef90_UPI0001F8656A","Group","KO-Old",-3.12151590651242,0.419218357071791,1.72818447433427e-09,"GroupKO-Old",1.66881625474537e-07,51,39,"KO-Old depleted gene families"
"87","UniRef90_I1VYZ8","Group","KO-Old",-1.60805478952162,0.216829137408631,1.9167527484019e-09,"GroupKO-Old",1.80835707573365e-07,51,50,"KO-Old depleted gene families"
"99","UniRef90_Q04IM6","Group","KO-Old",-1.14820053538804,0.157365086629788,2.9077015564507e-09,"GroupKO-Old",2.42128525763709e-07,51,50,"KO-Old depleted gene families"
