#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_r_uc_FKO01_S1	metaphlan_r_uc_FKO03_S2	metaphlan_r_uc_FKO04_S3	metaphlan_r_uc_FKO05_S4	metaphlan_r_uc_FKO06_S5	metaphlan_r_uc_FKO07_S6	metaphlan_r_uc_FKO08_S7	metaphlan_r_uc_FKO09_S8	metaphlan_r_uc_FWT01_S10	metaphlan_r_uc_FWT02_S11	metaphlan_r_uc_FWT03_S12	metaphlan_r_uc_FWT04_S13	metaphlan_r_uc_FWT05_S14	metaphlan_r_uc_FWT06_S15	metaphlan_r_uc_FWT07_S16	metaphlan_r_uc_FWT10_S19	metaphlan_r_uc_FYEX-2_S52	metaphlan_r_uc_FYEX-4_S54	metaphlan_r_uc_FYEX-5_S55	metaphlan_r_uc_FYKO-5_S44	metaphlan_r_uc_FYWT-1_S59	metaphlan_r_uc_FYWT-3_S60	metaphlan_r_uc_MKO01_S20	metaphlan_r_uc_MKO02_S21	metaphlan_r_uc_MKO03_S22	metaphlan_r_uc_MKO04_S23	metaphlan_r_uc_MKO05_S24	metaphlan_r_uc_MKO06_S25	metaphlan_r_uc_MKO07_S26	metaphlan_r_uc_MKO08_S27	metaphlan_r_uc_MKO09_S28	metaphlan_r_uc_MKO10_S29	metaphlan_r_uc_MWT01_S30	metaphlan_r_uc_MWT03_S32	metaphlan_r_uc_MWT05_S33	metaphlan_r_uc_MWT07_S35	metaphlan_r_uc_MWT08_S36	metaphlan_r_uc_MYEX-10_S84	metaphlan_r_uc_MYEX-11_S85	metaphlan_r_uc_MYEX-1_S76	metaphlan_r_uc_MYEX-2_S77	metaphlan_r_uc_MYEX-5_S79	metaphlan_r_uc_MYEX-6_S80	metaphlan_r_uc_MYEX-7_S81	metaphlan_r_uc_MYEX-8_S82	metaphlan_r_uc_MYKO-2_S67	metaphlan_r_uc_MYKO-4_S69	metaphlan_r_uc_MYKO-5_S70	metaphlan_r_uc_MYKO-6_S71	metaphlan_r_uc_MYKO-7_S72	metaphlan_r_uc_MYKO-9_S74	metaphlan_r_uc_MYWT-3_S88	metaphlan_r_uc_MYWT-6_S91
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	99.63834	99.90602	100.0	98.40921	98.68607	99.92712	100.0	99.84831	98.28398	100.0	99.07103	99.73097	99.44813	97.29186	99.90238	99.05422	98.45024	98.48962	99.07941	95.84358	94.19783	93.22173	100.0	99.98653	99.98609	100.0	99.77951	99.4757	99.81525	97.81777	99.99595	93.68337	99.98883	100.0	100.0	100.0	100.0	99.69412	100.0	100.0	99.41622	99.66256	99.99712	100.0	99.88606	100.0	98.03412	99.56243	99.90067	100.0	100.0	99.9945	100.0
k__Bacteria|p__Proteobacteria	0.35508	0.08397	0.0	1.59079	1.31393	0.0	0.0	0.15169	1.58084	0.0	0.92897	0.2591	0.54504	2.60058	0.09165	0.8319	1.07275	1.16759	0.0	3.26056	2.05182	2.92039	0.0	0.0	0.0	0.0	0.22049	0.5243	0.0	2.18223	0.00405	0.2204	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31752	0.03433	0.0	0.0	0.0	0.0	0.66604	0.0	0.0331	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria	0.00658	0.01001	0.0	0.0	0.0	0.07288	0.0	0.0	0.0	0.0	0.0	0.0	0.00683	0.0	0.0	0.08347	0.47701	0.34279	0.92059	0.89586	3.75035	3.85787	0.0	0.01347	0.01391	0.0	0.0	0.0	0.18475	0.0	0.0	6.09623	0.0	0.0	0.0	0.0	0.0	0.30588	0.0	0.0	0.26627	0.30311	0.00288	0.0	0.11394	0.0	1.19785	0.43757	0.06623	0.0	0.0	0.0055	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	99.63834	99.88188	100.0	98.40921	98.68607	99.81512	100.0	99.84831	98.22943	99.83442	99.07103	99.73097	99.36323	97.29186	99.88362	98.6785	98.45024	98.48962	98.94453	94.69874	94.19783	93.22173	100.0	99.98653	99.98609	100.0	99.77951	99.4757	99.81525	97.81777	99.99595	91.91905	99.98883	99.79941	100.0	99.90069	100.0	99.69412	100.0	100.0	99.41622	99.66256	99.99712	100.0	99.88606	98.76679	97.22268	99.56243	99.6515	100.0	100.0	99.9945	100.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.35508	0.08397	0.0	1.59079	1.31393	0.0	0.0	0.15169	1.58084	0.0	0.92897	0.2591	0.54504	2.60058	0.09165	0.8319	1.07275	1.16759	0.0	3.26056	2.05182	2.92039	0.0	0.0	0.0	0.0	0.22049	0.5243	0.0	2.18223	0.00405	0.0	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31752	0.03433	0.0	0.0	0.0	0.0	0.66604	0.0	0.0331	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.00658	0.01001	0.0	0.0	0.0	0.07288	0.0	0.0	0.0	0.0	0.0	0.0	0.00683	0.0	0.0	0.0	0.47701	0.34279	0.92059	0.89586	3.75035	3.85787	0.0	0.01347	0.01391	0.0	0.0	0.0	0.18475	0.0	0.0	1.78863	0.0	0.0	0.0	0.0	0.0	0.30588	0.0	0.0	0.26627	0.30311	0.00288	0.0	0.11394	0.0	1.19785	0.43757	0.06623	0.0	0.0	0.0055	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	99.03538	98.04053	99.96711	98.40921	65.49223	99.06385	94.87892	99.83249	67.20312	85.38719	96.69435	81.65763	99.25918	72.01112	99.85573	96.50416	98.45024	98.48962	98.94453	94.69874	94.19783	93.22173	97.28904	98.49368	90.34596	98.48092	95.45071	84.49653	64.52086	97.27768	63.3926	80.32829	95.37962	95.04742	99.58298	99.90069	96.49578	99.69412	100.0	100.0	99.41622	99.66256	99.99712	100.0	99.88606	98.76679	96.7589	99.56243	99.6515	100.0	100.0	99.9945	97.5422
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.60296	1.84135	0.03289	0.0	33.19384	0.75127	5.12108	0.01582	31.02632	14.44722	2.37668	18.07334	0.10406	25.28074	0.02789	2.17434	0.0	0.0	0.0	0.0	0.0	0.0	2.71096	1.49285	9.64014	1.51908	4.32879	14.97917	35.2944	0.5401	36.60335	11.59076	4.60921	4.75199	0.41702	0.0	3.50422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46377	0.0	0.0	0.0	0.0	0.0	2.4578
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.35508	0.08397	0.0	1.59079	1.31393	0.0	0.0	0.15169	1.58084	0.0	0.92897	0.2591	0.54504	2.60058	0.09165	0.8319	1.07275	1.16759	0.0	3.26056	2.05182	2.92039	0.0	0.0	0.0	0.0	0.22049	0.5243	0.0	0.12207	0.0	0.0	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31752	0.03433	0.0	0.0	0.0	0.0	0.66604	0.0	0.0331	0.0	0.0	0.0	0.0
