"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","tern1"
"2","UniRef90_A0A139R6W6","Group","WT-Old",-7.91306765675303,0.352022012246411,8.61473533082745e-27,"GroupWT-Old",3.53548737977159e-23,51,42,"WT_Old depleted gene families"
"4","UniRef90_UPI0009AB85CD","Group","WT-Old",-6.05726411959896,0.3949569648289,6.41621892809795e-20,"GroupWT-Old",1.3166081240457e-16,51,39,"WT_Old depleted gene families"
"8","UniRef90_V6Z0U4","Group","WT-Old",-7.20425677659882,0.492785831159437,4.15618607267791e-19,"GroupWT-Old",4.26424691056753e-16,51,40,"WT_Old depleted gene families"
"15","UniRef90_A0A117C2A0","Group","WT-Old",-2.75600027196167,0.248776880918497,1.06129047198438e-14,"GroupWT-Old",5.79331414000182e-12,51,50,"WT_Old depleted gene families"
"16","UniRef90_A0A139N9Z9","Group","WT-Old",-2.0628016152274,0.18654185403521,1.12930100194967e-14,"GroupWT-Old",5.79331414000182e-12,51,50,"WT_Old depleted gene families"
"17","UniRef90_A0A2X4AA32","Group","WT-Old",-2.32782233837363,0.220278822557264,5.23094860678831e-14,"GroupWT-Old",2.52562506850109e-11,51,50,"WT_Old depleted gene families"
"21","UniRef90_A0A2X3Y3T8","Group","WT-Old",-2.39637024266739,0.237502414071859,2.39743180119985e-13,"GroupWT-Old",9.37053344011826e-11,51,50,"WT_Old depleted gene families"
"22","UniRef90_T0TU34","Group","WT-Old",-1.38108748349279,0.145141867942343,1.55183551284508e-12,"GroupWT-Old",5.7897572224693e-10,51,50,"WT_Old depleted gene families"
"23","UniRef90_A0A2X4A7I0","Group","WT-Old",-2.45094563026802,0.262785643421417,2.88997083902295e-12,"GroupWT-Old",1.03134263681306e-09,51,50,"WT_Old depleted gene families"
"25","UniRef90_Q04IM6","Group","WT-Old",-1.50502890849414,0.167943115257984,9.74263861326704e-12,"GroupWT-Old",3.19870310950784e-09,51,50,"WT_Old depleted gene families"
"27","UniRef90_A0A139P848","Group","WT-Old",-2.70600338527672,0.305792506209978,1.42016799763448e-11,"GroupWT-Old",4.31731071280882e-09,51,47,"WT_Old depleted gene families"
"28","UniRef90_A0A0E8T8Q9","Group","WT-Old",-1.67849298704619,0.190458917319723,1.60422533838429e-11,"GroupWT-Old",4.6908369207665e-09,51,51,"WT_Old depleted gene families"
"29","UniRef90_A0A139Q1F5","Group","WT-Old",-1.68568309655713,0.191485212389816,1.6573376060213e-11,"GroupWT-Old",4.6908369207665e-09,51,50,"WT_Old depleted gene families"
"30","UniRef90_A0A0T8YM76","Group","WT-Old",-1.46918528319089,0.16797998413285,2.00799784666003e-11,"GroupWT-Old",5.41348954055432e-09,51,50,"WT_Old depleted gene families"
"31","UniRef90_A0A139NLE4","Group","WT-Old",-1.48082871479503,0.169414990664073,2.04456841809435e-11,"GroupWT-Old",5.41348954055432e-09,51,50,"WT_Old depleted gene families"
"32","UniRef90_A5LQA9","Group","WT-Old",-1.72825326490674,0.201394776468889,3.50320818592426e-11,"GroupWT-Old",8.98572899689574e-09,51,51,"WT_Old depleted gene families"
"33","UniRef90_A0A0T8YCT3","Group","WT-Old",-1.45358747950815,0.170029004480481,3.90910162665844e-11,"GroupWT-Old",9.72300186412499e-09,51,50,"WT_Old depleted gene families"
"35","UniRef90_F9PA10","Group","WT-Old",-1.8097249400682,0.213936474059625,5.30316407856521e-11,"GroupWT-Old",1.24366773591038e-08,51,50,"WT_Old depleted gene families"
"36","UniRef90_W1VLU6","Group","WT-Old",-1.51496988570919,0.179529780753654,5.68822248983488e-11,"GroupWT-Old",1.29691472768235e-08,51,50,"WT_Old depleted gene families"
"37","UniRef90_UPI000669EC23","Group","WT-Old",-1.53250640941684,0.183114763670056,7.2042156576388e-11,"GroupWT-Old",1.59816762480809e-08,51,51,"WT_Old depleted gene families"
"38","UniRef90_A0A1V2SRN6","Group","WT-Old",-4.62602944311482,0.560174824475141,1.05165800805681e-10,"GroupWT-Old",2.27158129740271e-08,51,39,"WT_Old depleted gene families"
"39","UniRef90_A0A139PKM9","Group","WT-Old",-1.20415150922095,0.146050851717125,1.10109506797903e-10,"GroupWT-Old",2.31738161999279e-08,51,51,"WT_Old depleted gene families"
"43","UniRef90_I1VYZ3","Group","WT-Old",-1.58910729990476,0.194122168551034,1.3454708681163e-10,"GroupWT-Old",2.50991474670423e-08,51,51,"WT_Old depleted gene families"
"45","UniRef90_UPI0006C8745A","Group","WT-Old",-1.53458725436273,0.188346483218064,1.53468897584952e-10,"GroupWT-Old",2.79927269194952e-08,51,51,"WT_Old depleted gene families"
"46","UniRef90_U2J9S7","Group","WT-Old",-1.42881189000105,0.176414951852385,1.81235797601512e-10,"GroupWT-Old",3.23387701459394e-08,51,50,"WT_Old depleted gene families"
"47","UniRef90_A0A0T8AM44","Group","WT-Old",-1.85245978014592,0.230173531100917,2.1593160372707e-10,"GroupWT-Old",3.63740586677393e-08,51,49,"WT_Old depleted gene families"
"48","UniRef90_A0A1C7C6Y3","Group","WT-Old",-1.3072249150816,0.162315097085223,2.11875407440332e-10,"GroupWT-Old",3.63740586677393e-08,51,50,"WT_Old depleted gene families"
"49","UniRef90_E9FJI8","Group","WT-Old",-1.57184992365495,0.195346567040685,2.17145330740647e-10,"GroupWT-Old",3.63740586677393e-08,51,50,"WT_Old depleted gene families"
"50","UniRef90_A0A0T9GRS4","Group","WT-Old",-1.35679643262229,0.169648676636564,2.56761011039644e-10,"GroupWT-Old",4.13234191884979e-08,51,50,"WT_Old depleted gene families"
"51","UniRef90_A0A0T9GZT0","Group","WT-Old",-1.34702333763133,0.168386203471851,2.55069836059169e-10,"GroupWT-Old",4.13234191884979e-08,51,50,"WT_Old depleted gene families"
"52","UniRef90_A0A0T9GVM6","Group","WT-Old",-1.04155618519096,0.130619477687193,2.78567556724565e-10,"GroupWT-Old",4.24478524732051e-08,51,51,"WT_Old depleted gene families"
"53","UniRef90_A0A139PZ87","Group","WT-Old",-2.86185646785497,0.358533700247291,2.70878786145285e-10,"GroupWT-Old",4.24478524732051e-08,51,49,"WT_Old depleted gene families"
"54","UniRef90_I1VYZ8","Group","WT-Old",-1.84504420470383,0.231404319693705,2.79262187323718e-10,"GroupWT-Old",4.24478524732051e-08,51,50,"WT_Old depleted gene families"
"55","UniRef90_A8AZJ9","Group","WT-Old",-1.28272735996883,0.161278127187347,2.98879879951306e-10,"GroupWT-Old",4.46037464480058e-08,51,50,"WT_Old depleted gene families"
"58","UniRef90_A0A0R2A864","Group","WT-Old",-2.09586266079501,0.266573769960768,4.09287065198315e-10,"GroupWT-Old",5.53153714923862e-08,51,50,"WT_Old depleted gene families"
"59","UniRef90_E8KU89","Group","WT-Old",-1.34769292597624,0.171441529122455,4.11091332972169e-10,"GroupWT-Old",5.53153714923862e-08,51,49,"WT_Old depleted gene families"
"60","UniRef90_L7WQA2","Group","WT-Old",-1.43361271138222,0.182260243733831,4.04348556135993e-10,"GroupWT-Old",5.53153714923862e-08,51,50,"WT_Old depleted gene families"
"61","UniRef90_UPI00099184BF","Group","WT-Old",-1.50479978191999,0.191372006480633,4.07887077947422e-10,"GroupWT-Old",5.53153714923862e-08,51,49,"WT_Old depleted gene families"
"62","UniRef90_A0A139NP97","Group","WT-Old",-1.62005702506725,0.206533257009295,4.35754886256435e-10,"GroupWT-Old",5.76883242966584e-08,51,51,"WT_Old depleted gene families"
"63","UniRef90_A5M9J2","Group","WT-Old",-6.16790380054062,0.787324824521745,4.5111978738617e-10,"GroupWT-Old",5.87744637280267e-08,51,39,"WT_Old depleted gene families"
"64","UniRef90_A0A139PDU2","Group","WT-Old",-1.32530252913855,0.169273990724013,4.58442193424531e-10,"GroupWT-Old",5.87952113066961e-08,51,51,"WT_Old depleted gene families"
"66","UniRef90_UPI0003FA7F01","Group","WT-Old",-1.32921987672915,0.170551845502137,5.18531553722133e-10,"GroupWT-Old",6.44864695901707e-08,51,49,"WT_Old depleted gene families"
"67","UniRef90_A0A0H3BYT8","Group","WT-Old",-1.58397734860707,0.204177153003781,5.86732928460611e-10,"GroupWT-Old",7.18791623403686e-08,51,49,"WT_Old depleted gene families"
"68","UniRef90_A0A139NFG5","Group","WT-Old",-1.54790535509434,0.201311835087878,7.44175769795209e-10,"GroupWT-Old",8.98263929188099e-08,51,49,"WT_Old depleted gene families"
"69","UniRef90_A0A0T8UCX9","Group","WT-Old",-1.09591736566556,0.142859290263301,7.91406601026882e-10,"GroupWT-Old",9.41429765395457e-08,51,51,"WT_Old depleted gene families"
"70","UniRef90_A0A0T9GYN9","Group","WT-Old",-1.78513981888242,0.233613869517572,8.77678975867301e-10,"GroupWT-Old",1.01692160673627e-07,51,50,"WT_Old depleted gene families"
"71","UniRef90_A0A100EHG9","Group","WT-Old",-1.78491680941215,0.233604463748186,8.79647101343505e-10,"GroupWT-Old",1.01692160673627e-07,51,50,"WT_Old depleted gene families"
"73","UniRef90_UPI0001F8656A","Group","WT-Old",-3.40271915974752,0.447398075188068,9.93660858549052e-10,"GroupWT-Old",1.11725593520145e-07,51,39,"WT_Old depleted gene families"
"74","UniRef90_UPI0004119DDC","Group","WT-Old",-1.48329247821269,0.195176504863582,1.01391679057457e-09,"GroupWT-Old",1.12462554284271e-07,51,49,"WT_Old depleted gene families"
"75","UniRef90_A0A0T8AJK0","Group","WT-Old",-1.28235626983624,0.169016799650857,1.05915179646917e-09,"GroupWT-Old",1.15913572605585e-07,51,51,"WT_Old depleted gene families"
"76","UniRef90_A0A0E9F2X7","Group","WT-Old",-1.35378076655848,0.178651614725851,1.09416106186818e-09,"GroupWT-Old",1.18169394681764e-07,51,50,"WT_Old depleted gene families"
"77","UniRef90_A0A380KZL6","Group","WT-Old",-1.40706737614012,0.186070165269623,1.1555352199416e-09,"GroupWT-Old",1.23177053055593e-07,51,50,"WT_Old depleted gene families"
"80","UniRef90_E8JWD9","Group","WT-Old",-1.48135277478414,0.196735799052818,1.29281312227211e-09,"GroupWT-Old",1.32642626345118e-07,51,50,"WT_Old depleted gene families"
"82","UniRef90_A3CNY0","Group","WT-Old",-1.31378466141855,0.175123070770775,1.42268926750815e-09,"GroupWT-Old",1.42407725703743e-07,51,50,"WT_Old depleted gene families"
"83","UniRef90_A0A380JKK3","Group","WT-Old",-1.29828955206165,0.173824016709487,1.59578997302168e-09,"GroupWT-Old",1.57810169862192e-07,51,50,"WT_Old depleted gene families"
